x,t,psi_real,psi_imag
0.7070707070707072,0.101,0.9884883475625422,-0.5379262035104495
0.7171717171717172,0.101,0.9641223000118756,-0.5246664261081113
0.7272727272727273,0.101,0.9387854630302414,-0.5108783540887482
0.7373737373737375,0.101,0.9125033486647739,-0.49657587087212446
0.7474747474747475,0.101,0.8853024207768002,-0.48177337784646485
0.7575757575757577,0.101,0.8572100683949759,-0.4664857798674943
0.7676767676767677,0.101,0.8282545781368649,-0.4507284702505036
0.7777777777777778,0.101,0.7984651057267023,-0.43451731527058735
0.787878787878788,0.101,0.7678716466380612,-0.4178686381866469
0.797979797979798,0.101,0.7365050058909465,-0.4007992028052618
0.8080808080808082,0.101,0.7043967670337571,-0.3833261966009462
0.8181818181818182,0.101,0.6715792603413244,-0.3654672134098251
0.8282828282828284,0.101,0.6380855302610605,-0.3472402357141264
0.8383838383838385,0.101,0.6039493021400201,-0.3286636165353589
0.8484848484848485,0.101,0.5692049482663157,-0.3097560609543635
0.8585858585858587,0.101,0.5338874532591441,-0.29053660727688196
0.8686868686868687,0.101,0.4980323788422421,-0.2710246078636064
0.8787878787878789,0.101,0.46167582803624085,-0.2512397096439872
0.888888888888889,0.101,0.424854408805995,-0.231201834333434
0.8989898989898991,0.101,0.3876051971994462,-0.21093115837384668
0.9090909090909092,0.101,0.3499657000152013,-0.19044809261764506
0.9191919191919192,0.101,0.31197381703636307,-0.16977326177577062
0.9292929292929294,0.101,0.2736678028686575,-0.14892748365035105
0.9393939393939394,0.101,0.23508622842129087,-0.1279317481729377
0.9494949494949496,0.101,0.19626794206930903,-0.10680719626942393
0.9595959595959597,0.101,0.15725203053658257,-0.0855750985729267
0.9696969696969697,0.101,0.11807777953879138,-0.06425683400605732
0.9797979797979799,0.101,0.07878463422603164,-0.042873868254162034
0.98989898989899,0.101,0.039412159464893744,-0.021447732151195758
1.0,0.101,0.0,0.0
0.0,0.10200000000000001,0.0,0.0
0.010101010101010102,0.10200000000000001,0.03930584887036789,-0.021641944753080213
0.020202020202020204,0.10200000000000001,0.07857212008273706,-0.04326209790230513
0.030303030303030304,0.10200000000000001,0.11775927583045455,-0.06483868978611504
0.04040404040404041,0.10200000000000001,0.1568278579694386,-0.08634999460544879
0.05050505050505051,0.10200000000000001,0.19573852774917774,-0.10777435229979046
0.06060606060606061,0.10200000000000001,0.23445210542351644,-0.12909019035700733
0.07070707070707072,0.10200000000000001,0.27292960970134744,-0.15027604553504093
0.08080808080808081,0.10200000000000001,0.31113229699746153,-0.1713105854735756
0.09090909090909091,0.10200000000000001,0.34902170044405423,-0.1921726301739149
0.10101010101010102,0.10200000000000001,0.386559668623603,-0.21284117332544478
0.11111111111111112,0.10200000000000001,0.4237084039841091,-0.23329540345721053
0.12121212121212122,0.10200000000000001,0.46043050089802534,-0.25351472489330024
0.13131313131313133,0.10200000000000001,0.4966889833265583,-0.27347877849094526
0.14141414141414144,0.10200000000000001,0.5324473420514043,-0.2931674621404528
0.15151515151515152,0.10200000000000001,0.567669571436433,-0.31256095100632747
0.16161616161616163,0.10200000000000001,0.6023202056823163,-0.33163971748919613
0.17171717171717174,0.10200000000000001,0.6363643545375742,-0.35038455088844833
0.18181818181818182,0.10200000000000001,0.6697677384301104,-0.3687765767457811
0.19191919191919193,0.10200000000000001,0.7024967229838258,-0.38679727585018236
0.20202020202020204,0.10200000000000001,0.734518352885594,-0.4044285028852054
0.21212121212121213,0.10200000000000001,0.7658003850684604,-0.421652504699758
0.22222222222222224,0.10200000000000001,0.7963113211776814,-0.4384519381840298
0.23232323232323235,0.10200000000000001,0.8260204392868989,-0.4548098877325294
0.24242424242424243,0.10200000000000001,0.854897824832507,-0.47070988227666616
0.25252525252525254,0.10200000000000001,0.8829144007350949,-0.4861359118697185
0.26262626262626265,0.10200000000000001,0.9100419566775924,-0.501072443807494
0.27272727272727276,0.10200000000000001,0.9362531775106707,-0.515504438268452
0.2828282828282829,0.10200000000000001,0.9615216707567757,-0.5294173634575137
0.29292929292929293,0.10200000000000001,0.9858219931851319,-0.5427972102383591
0.30303030303030304,0.10200000000000001,1.0091296764309052,-0.5556305062394417
0.31313131313131315,0.10200000000000001,1.0314212516327699,-0.5679043294195222
0.32323232323232326,0.10200000000000001,1.0526742730640801,-0.5796063210790676
0.33333333333333337,0.10200000000000001,1.072867340733788,-0.5907246983044147
0.3434343434343435,0.10200000000000001,1.0919801219344458,-0.6012482658321533
0.3535353535353536,0.10200000000000001,1.1099933717155095,-0.6111664273218316
0.36363636363636365,0.10200000000000001,1.1268889522613643,-0.6204691960255568
0.37373737373737376,0.10200000000000001,1.1426498511545788,-0.629147204843806
0.38383838383838387,0.10200000000000001,1.1572601985059596,-0.6371917157573043
0.393939393939394,0.10200000000000001,1.1707052829341908,-0.6445946286254618
0.4040404040404041,0.10200000000000001,1.1829715663789455,-0.651348489342543
0.4141414141414142,0.10200000000000001,1.1940466977325657,-0.6574464973433045
0.42424242424242425,0.10200000000000001,1.2039195252765715,-0.662882512450594
0.43434343434343436,0.10200000000000001,1.2125801079105085,-0.6676510610579884
0.4444444444444445,0.10200000000000001,1.2200197251617988,-0.6717473416412529
0.4545454545454546,0.10200000000000001,1.2262308859664937,-0.6751672295930694
0.4646464646464647,0.10200000000000001,1.2312073362121603,-0.6779072813761604
0.4747474747474748,0.10200000000000001,1.2349440650352386,-0.6799647379906469
0.48484848484848486,0.10200000000000001,1.2374373098665514,-0.6813375277521195
0.494949494949495,0.10200000000000001,1.2386845602198973,-0.6820242683776556
0.5050505050505051,0.10200000000000001,1.2386845602198986,-0.6820242683776553
0.5151515151515152,0.10200000000000001,1.2374373098665536,-0.681337527752122
0.5252525252525253,0.10200000000000001,1.234944065035241,-0.6799647379906492
0.5353535353535354,0.10200000000000001,1.2312073362121625,-0.677907281376165
0.5454545454545455,0.10200000000000001,1.226230885966495,-0.6751672295930694
0.5555555555555556,0.10200000000000001,1.2200197251618008,-0.6717473416412518
0.5656565656565657,0.10200000000000001,1.2125801079105123,-0.6676510610579882
0.5757575757575758,0.10200000000000001,1.2039195252765715,-0.662882512450597
0.5858585858585859,0.10200000000000001,1.1940466977325679,-0.6574464973433094
0.595959595959596,0.10200000000000001,1.1829715663789513,-0.6513484893425504
0.6060606060606061,0.10200000000000001,1.1707052829341964,-0.6445946286254705
0.6161616161616162,0.10200000000000001,1.1572601985059667,-0.6371917157573131
0.6262626262626263,0.10200000000000001,1.142649851154588,-0.6291472048438153
0.6363636363636365,0.10200000000000001,1.1268889522613743,-0.6204691960255658
0.6464646464646465,0.10200000000000001,1.1099933717155197,-0.6111664273218399
0.6565656565656566,0.10200000000000001,1.091980121934456,-0.6012482658321614
0.6666666666666667,0.10200000000000001,1.072867340733795,-0.5907246983044223
0.6767676767676768,0.10200000000000001,1.0526742730640897,-0.5796063210790806
